71;1
72;2
73;3
74;4
65;5
66;6
67;7
68;8
69;9
70;10
71;11
72;12
73;13
74;14
65;15
66;16
67;17
68;18
69;19
70;20
71;21
72;22
73;23
74;24
65;25
66;26
67;27
68;28
69;29
70;30
71;31
72;32
73;33
74;34
65;35
66;36
67;37
68;38
69;39
70;40
71;41
72;42
73;43
74;44
65;45
66;46
67;47
68;48
69;49
70;50
71;51
72;52
73;53
74;54
65;55
66;56
67;57
68;58
69;59
70;60
71;61
72;62
73;63
74;64
65;65
66;66
67;67
68;68
69;69
70;70
71;71
72;72
73;73
74;74
65;75
66;76
67;77
68;78
69;79
70;80
71;81
72;82
73;83
74;84
65;85
66;86
67;87
68;88
69;89
70;90
71;91
72;92
73;93
74;94
65;95
66;96
67;97
68;98
69;99
70;100
71;101
72;102
73;103
74;104
65;105
66;106
67;107
68;108
69;109
70;110
71;111
72;112
73;113
74;114
65;115
66;116
67;117
68;118
69;119
70;120
71;121
72;122
73;123
74;124
65;125
66;126
67;127
68;128
69;129
70;130
71;131
72;132
73;133
74;134
65;135
66;136
67;137
68;138
69;139
70;140
71;141
72;142
73;143
74;144
